shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff8ed7a338,0x7fff8ed7ab48
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff888fd020,0x7fff8898034f
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff92856e70,0x7fff92858a23
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff85e7d564,0x7fff85e7e5fb
shared-library,"/usr/lib/system/libsystem_coretls.dylib",0x7fff8ea873bc,0x7fff8ea95dfe
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff8c3405f8,0x7fff8c34623f
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff91161190,0x7fff9118596e
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff8ca4aac0,0x7fff8ca61c6e
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff85d0df40,0x7fff85d2289f
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff86638008,0x7fff8665033d
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff89324310,0x7fff89351992
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff8c3e2200,0x7fff8c3e700d
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff888e3e80,0x7fff888ec8fb
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff92d73960,0x7fff92d79393
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff8bdb1fdc,0x7fff8bdb80f0
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff90462bd8,0x7fff9046475d
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff8bdbbab7,0x7fff8bdbc524
shared-library,"/usr/lib/system/libsystem_stats.dylib",0x7fff8d7e9710,0x7fff8d7ed59f
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff92d7ca20,0x7fff92d81a88
shared-library,"/usr/lib/system/libunc.dylib",0x7fff8fef0fc0,0x7fff8fef0fc0
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff85e7f8b8,0x7fff85e84385
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff8b9c77b0,0x7fff8b9e4b61
shared-library,"/usr/lib/libauto.dylib",0x7fff8b80c4d0,0x7fff8b84bed0
shared-library,"/usr/lib/libc++abi.dylib",0x7fff917b8920,0x7fff917e0a14
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff85e8614b,0x7fff85e86a22
shared-library,"/usr/lib/system/libkxld.dylib",0x7fff83c97be0,0x7fff83ca1bc6
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff890eed40,0x7fff8928600c
shared-library,"/System/Library/Frameworks/CFNetwork.framework/Versions/A/CFNetwork",0x7fff8be537f0,0x7fff8c014d60
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/FSEvents",0x7fff8c47c5c8,0x7fff8c481fee
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/CarbonCore",0x7fff8365e490,0x7fff8373ce0b
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Metadata",0x7fff8ae0b4c0,0x7fff8ae90931
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/OSServices.framework/Versions/A/OSServices",0x7fff834bdc80,0x7fff835290eb
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/SearchKit.framework/Versions/A/SearchKit",0x7fff840d9390,0x7fff8412d128
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/AE.framework/Versions/A/AE",0x7fff83b0cab0,0x7fff83b6457b
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/LaunchServices.framework/Versions/A/LaunchServices",0x7fff92631df0,0x7fff92728d02
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/DictionaryServices",0x7fff8cacc100,0x7fff8caf0eb8
shared-library,"/usr/lib/libsqlite3.dylib",0x7fff863cb440,0x7fff86502080
shared-library,"/usr/lib/libxml2.2.dylib",0x7fff8e994614,0x7fff8ea66ead
shared-library,"/usr/lib/libxar.1.dylib",0x7fff84083798,0x7fff8408f6cc
shared-library,"/usr/lib/libpam.2.dylib",0x7fff8d5bf0a4,0x7fff8d5c1dab
shared-library,"/usr/lib/libOpenScriptingUtil.dylib",0x7fff8f12cda4,0x7fff8f12cf16
shared-library,"/usr/lib/libbz2.1.0.dylib",0x7fff8b885670,0x7fff8b891f65
shared-library,"/System/Library/Frameworks/DiskArbitration.framework/Versions/A/DiskArbitration",0x7fff918151d0,0x7fff91819024
shared-library,"/System/Library/Frameworks/NetFS.framework/Versions/A/NetFS",0x7fff89bffce0,0x7fff89c05a53
